City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,62.67,88,100,4.09,ZA,1731267352
1,jamestown,42.097,-79.2353,49.01,95,100,12.66,US,1731267173
2,bilibino,68.0546,166.4372,-0.11,98,100,1.01,RU,1731267397
3,waitangi,-43.9535,-176.5597,57.81,97,100,8.99,NZ,1731267398
4,bethel,41.3712,-73.414,57.9,45,0,8.05,US,1731267399
5,klyuchi,52.2667,79.1667,32.25,92,100,17.72,RU,1731267400
6,queenstown,-31.8976,26.8753,55.06,93,100,5.48,ZA,1731267402
7,port-aux-francais,-49.35,70.2167,39.96,84,58,21.92,TF,1731267403
8,mejit,10.2753,170.8646,82.96,76,2,19.33,MH,1731267405
9,kudahuvadhoo,2.6708,72.8944,82.56,76,100,12.39,MV,1731267406
10,remire-montjoly,4.9167,-52.2667,78.84,94,75,3.44,GF,1731267407
11,wailua homesteads,22.0669,-159.378,75.99,90,75,14.97,US,1731267408
12,bonthe,7.5264,-12.505,80.71,81,31,5.57,SL,1731267409
13,necochea,-38.5473,-58.7368,56.97,91,100,17.65,AR,1731267410
14,adamstown,-25.066,-130.1015,71.71,81,100,13.82,PN,1731267411
15,geraldton,-28.7667,114.6,59.41,82,0,12.66,AU,1731267335
16,grytviken,-54.2811,-36.5092,32.22,77,42,3.42,GS,1731267270
17,qamdo,31.1667,97.2333,28.98,52,0,4.36,CN,1731267414
18,yellowknife,62.456,-114.3525,14.52,85,75,8.05,CA,1731267416
19,albany,42.6001,-73.9662,54.01,41,100,3.0,US,1731267159
20,georgetown,5.4112,100.3354,80.55,84,40,6.91,MY,1731267252
21,invercargill,-46.4,168.35,51.03,68,90,14.0,NZ,1731267183
22,west island,-12.1568,96.8225,80.58,83,100,16.11,CC,1731267421
23,margaret river,-33.95,115.0667,48.9,90,75,6.29,AU,1731267422
24,sisimiut,66.9395,-53.6735,20.62,82,100,10.02,GL,1731267423
25,puerto ayora,-0.7393,-90.3518,75.54,77,75,7.0,EC,1731267301
26,tommot,58.9564,126.2925,12.11,96,99,4.41,RU,1731267425
27,blackmans bay,-43.0167,147.3167,44.53,90,3,1.79,AU,1731267426
28,tiksi,71.6872,128.8694,-3.21,100,82,3.38,RU,1731267427
29,udachny,66.4167,112.4,-0.42,98,85,4.32,RU,1731267428
30,broken hill,-31.95,141.4333,71.15,37,100,8.77,AU,1731267430
31,krasnogvardeyskoye,45.8456,41.5186,42.51,78,12,6.69,RU,1731267431
32,nar'yan-mar,67.6713,53.087,17.73,91,32,7.52,RU,1731267432
33,olonkinbyen,70.9221,-8.7187,34.95,99,100,22.1,SJ,1731267433
34,papatowai,-46.5619,169.4708,47.34,69,94,16.53,NZ,1731267434
35,berezovyy,51.6667,135.7,24.89,58,32,7.47,RU,1731267435
36,whitehorse,60.7161,-135.0538,29.17,74,75,11.5,CA,1731267436
37,thompson,55.7435,-97.8558,30.36,74,100,3.44,CA,1731267164
38,qaqortoq,60.7167,-46.0333,27.84,86,100,8.93,GL,1731267438
39,nehe,48.4833,124.8333,24.04,47,80,3.65,CN,1731267439
40,bredasdorp,-34.5322,20.0403,60.57,73,97,7.56,ZA,1731267440
41,ribeira grande,38.5167,-28.7,68.77,83,40,18.41,PT,1731267441
42,stanley,54.868,-1.6985,46.53,87,0,6.91,GB,1731267442
43,hithadhoo,-0.6,73.0833,82.42,73,92,13.29,MV,1731267443
44,edinburgh of the seven seas,-37.0676,-12.3116,60.44,88,100,29.95,SH,1731267444
45,afaahiti,-17.75,-149.2833,76.24,86,100,16.42,PF,1731267445
46,iskateley,67.6803,53.1512,16.52,91,18,7.07,RU,1731267446
47,hamilton,39.1834,-84.5333,62.78,95,100,11.5,US,1731267447
48,portland,45.5234,-122.6762,56.71,80,75,5.75,US,1731267449
49,college,64.8569,-147.8028,-2.22,78,20,0.0,US,1731267450
50,badger,64.8,-147.5333,-2.29,78,0,0.0,US,1731267451
51,utrik,11.2278,169.8474,82.99,76,0,20.8,MH,1731267452
52,acarau,-2.8856,-40.12,80.83,72,77,19.62,BR,1731267453
